12 July 2001 FINAL A5-0263/2001	12 juillet 2001 FINAL A5-0263/2001
Pursuant to Article 14, exceptions may be made only where they are necessary to safeguard national security, defence and law enforcement.	Aux termes de l'article 14, des exceptions ne sont possibles que dans le cas où elles sont nécessaires "pour sauvegarder la sûreté de l'État, la défense (…) et la poursuite d'infractions pénales (…)".
As industrial espionage is no justification for an exception, it would, in this case, constitute an infringement of Community law.	L'espionnage économique n'étant pas un motif légitime d'exception, il y aurait alors violation du droit communautaire.
To sum up, it can therefore be said that the current legal position is that in principle an ECHELON type intelligence system is not in breach of Union law because it does not concern the aspects of Union law that would be required for there to be incompatibility.	En résumé, il est possible de dire qu'en principe, dans la situation juridique actuelle, un système de renseignement du type ECHELON ne saurait être contraire au droit de l'Union, dès lors qu'il ne présente aucun rapport avec des éléments du droit de l'Union justifiant son incompatibilité.
However, this applies only where the system is actually used exclusively for the purposes of state security in the broad sense.	Il en va toutefois uniquement ainsi tant que le système est utilisé exclusivement aux fins de garantir la sûreté de l'État au sens large.
On the other hand, were it to be used for other purposes and for industrial espionage directed against foreign firms, this would constitute an infringement of EC law.	S'il est par contre détourné de ses objectifs pour espionner des entreprises étrangères, il y a bien infraction au droit communautaire.
Were a Member State to be involved in such action, it would be in breach of Community law.	Et si un État membre participait à une activité de ce type, il violerait le droit communautaire.
The compatibility of communications surveillance by intelligence services with the fundamental right to privacy 8.1.	La surveillance des communications par les services de renseignements est-elle compatible avec le droit fondamental au respect de la vie privée 8.1.
Communications surveillance as a violation of the fundamental right to privacy	La surveillance des communications, atteinte au droit fondamental au respect de la vie privée
Any act involving the interception of communications, and even the recording of data by intelligence services for that purpose German Federal Constitutional Court (FCC), 1 BVR 226/94 of 14 July 1999, Rz 187: 'The recording of data already represents a violation of that right in so far as it makes the content of the communications available to the Federal Intelligence Service and forms the basis of the ensuing analysis using search terms'. , represents a serious violation of an individual's privacy.	Toute écoute de communication, à commencer par l'interception de données par des services de renseignements à cette fin Tribunal constitutionnel fédéral, 1 BvR 2226/94 du 14.7.1999, n° 187 "Eingriff ist [...] schon die Erfassung selbst, insofern sie die Kommunikation für den Bundesnachrichtendienst verfügbar macht und die Basis des nachfolgenden Abgleichs mit den Suchbegriffen bildet." , représente une atteinte profonde à la vie privée de la personne.
Only in a 'police state' is the unrestricted interception of communications permitted by government authorities.	L'écoute illimitée par la puissance publique n'est admissible que dans un "État policier".
In contrast, in the EU Member States, which are mature democracies, the need for state bodies, and thus also intelligence services, to respect individuals' privacy is unchallenged and is generally enshrined in national constitutions.	Dans les États membres de l'UE, qui sont des démocraties évoluées, la nécessité pour les organes de l'État, c'est–à–dire aussi pour les services de renseignements, de respecter la vie privée est incontestée et généralement inscrite dans les différentes constitutions nationales.
Privacy thus enjoys special protection: potential violations are authorised only following analysis of the legal considerations and in accordance with the principle of proportionality.	La vie privée bénéficie donc d'une protection particulière et des possibilités d'intervention ne sont accordées qu'après évaluation des biens protégés par des dispositions légales et dans le respect du principe de proportionnalité.
The UKUSA states are also well aware of the problem.	Dans les pays UKUSA aussi, on est conscient du problème.
However, these states' protection provisions are geared to respect for the privacy of their own inhabitants, so that as a rule European citizens do not benefit from them in any way.	Les dispositions de protection prévues visent toutefois le respect de la vie privée des ressortissants nationaux, de sorte que le citoyen européen est généralement exclu du bénéfice de celles–ci.
The protection of privacy under international agreements	La protection de la vie privée garantie par les conventions internationales
4/5: the legality of the interception of electronic communications: a concise survey of the principal legal issues and instruments under international, European and national law (Chris Elliot), October 1999, 2. .	8, convention européenne des droits de l'homme, recommandation du Conseil de l'OCDE sur des lignes directrices pour la sécurité des systèmes informatiques adoptée les 26 et 27.11.1993 C(92) 188/Final; Art 7 Convention du Conseil de l'Europe sur la protection des personnes dans le domaine du traitement automatique des données à caractère personnel; cf. à ce propos l'étude commandée par le STOA "Development of surveillance tehnology and risk of abuse of economic information", Vol 4/5: The legality of the interception of electronic communications: A concise survey of the principal legal issues and instruments under international, European and national law (Chris Elliot), octobre 1999, 2. .
Article 17 of the Covenant guarantees the protection of privacy.	1966. , conclu en 1966 dans le cadre de l'ONU, garantit en son article 17 la protection de la vie privée.
In connection with complaints submitted by other states, all the UKUSA states have complied with the decisions taken by the Human Rights Committee set up pursuant to Article 41 of the Covenant to rule on breaches of the Covenant under international law.	Tous les pays UKUSA ont souscrit aux décisions de la commission des droits de l'homme instituée conformément à l'article 41 et qui examine les violations de la convention, et ce dès lors qu'il y a plainte d'autres pays.
The Optional Protocol Optional Protocol to the International Covenant on Civil and Political Rights, adopted by the UN General Assembly on 16 December 1966. , which extends the powers of the Human Rights Committee to cover complaints submitted by private individuals, has not been signed by the USA, however, so that such individuals cannot appeal to the Human Rights Committee in the event of the violation of the Covenant by the USA.	Le protocole additionnel Protocole facultatif au pacte international relatif aux droits civils et politiques, adopté par l'AG des Nations unies le 16.12.1966. , qui étend la compétence de la commission aux recours individuels, n'a cependant pas été signé par les États–Unis, de sorte qu'il est impossible à une personne privée de s'adresser à la commission des droits de l'homme en cas de violation de la convention par les États‑Unis.
At EU level, efforts have been made to establish specifically European arrangements for the protection of fundamental rights through the drafting of a Charter of Fundamental Rights of the EU.	Au niveau de l'UE, on s'est efforcé de mettre en place une protection européenne particulière des droits fondamentaux en élaborant une charte des droits fondamentaux de l'UE.
Article 7 of the Charter, entitled 'Respect for private and family life', even lays down explicitly in law the right to respect for communications 'Everyone has the right to respect for his or her private family life, home and communications.' .	L'article 7 de celle‑ci, qui concerne le respect de la vie privée et familiale, régit même expressément le droit au respect des communications "Toute personne a droit au respect de sa vie privée et familiale, de son domicile et de ses communications". .
In addition, Article 8 lays down in law the fundamental right to the 'protection of personal data'.	De plus, l'article 8 régit le droit fondamental à la protection des données à caractère personnel.
This would have protected individuals in those cases involving the (computerised or non-computerised) processing of their data, something which generally occurs when voice communications are intercepted and invariably does when other forms of communication are intercepted.	Cette disposition protégerait la personne au cas où des données la concernant seraient traitées (par la voie informatique ou non), ce qui est généralement le cas en cas d'écoute et l'est toujours en cas d'interception par d'autres moyens.
The Charter has not yet been incorporated into the Treaty.	A ce jour, la Charte n'a pas été incorporée au traité.
It is binding, therefore, only on the three institutions which pledged to comply with it in the Formal Declaration adopted during the Nice European Council: the Council, the Commission and the European Parliament.	Elle n'est contraignante que pour les trois institutions qui y ont souscrit dans la déclaration solennelle en marge du Conseil européen de Nice: Conseil, Commission et Parlement européen.
As far as your rapporteur is aware, they are not involved in any secret service activities.	À la connaissance du rapporteur, celles-ci ne sont pas engagées dans des activités de services secrets.
Even when the Charter acquires full legal force through its incorporation into the Treaty, due account will have to be taken of its limited scope.	Même si l'incorporation au traité donnait à la Charte tous ses effets, il faut tenir compte de son champ d'application limité.
Pursuant to Article 51, the Charter applies to 'the institutions and bodies of the Union … and to the Member State only when they are implementing Union law'.	Aux termes de l'article 51, ces dispositions "s'adressent aux institutions et organes de l'Union ... ainsi qu'aux États membres uniquement lorsqu'ils mettent en œuvre le droit de l'Union".
Accordingly, the Charter would at best take effect via the ban on state aid schemes which run counter to the principles of competition (see Chapter 7, 7.3.).	La Charte s'appliquerait donc en plus de l'instrument représenté par l'interdiction d'aides publiques contraires à la concurrence (voir chapitre 7, point 7.3).
The only effective international instrument for the comprehensive protection of privacy is the ECHR.	Le seul instrument efficace au plan international en matière de protection globale de la vie privée est constitué par la convention européenne relative aux droits de l'homme.
The rules laid down in the (ECHR)	Les dispositions de la convention européenne des droits de l'homme
The importance of the ECHR in the EU	L'importance de la convention dans l'UE
The protection of fundamental rights provided by the ECHR is particularly important in that the Convention has been ratified by all the EU Member States, thereby creating a uniform level of protection in Europe.	La protection des droits fondamentaux assurée par la convention revêt une importance particulière dans la mesure où la convention a été ratifiée par tous les États membres de l'UE, de sorte qu'elle assure un niveau de protection uniforme en Europe.
The contracting parties have given an undertaking under international law to guarantee the rights enshrined in the ECHR and have declared that they will comply with the judgments of the European Court of Human Rights in Strasbourg.	Les États partie à cette convention se sont engagés en droit international à garantir les droits reconnus par la convention et à se soumettre à la juridiction de la Cour européenne des droits de l'homme de Strasbourg.
The ECHR has gained further in importance by being repeatedly invoked by the CJEC, alongside the general legal principles adhered to by the Member States, when that body takes decisions in cases involving legal reviews.	L'importance de la convention se trouve encore accrue du fait que la Cour de justice des Communautés européennes l'a consultée à plusieurs reprises dans le contexte de vérifications de dispositions législatives par rapport aux principes généraux du droit des États membres.
Moreover, following the adoption of the Treaty of Amsterdam Article 6(2) of the Treaty on European Union commits the EU to respecting fundamental rights as enshrined in the ECHR.	Le traité d'Amsterdam (article 6, paragraphe 2, du traité UE) prévoit en outre l'obligation pour l'UE de respecter les droits fondamentaux tels qu'ils sont garantis par la convention.
The geographical and personal scope of the protection provided under the ECHR	Portée de la protection offerte par la convention
The rights enshrined in the ECHR represent generally recognised human rights and are thus not linked to nationality.	Les droits inscrits dans la convention sont des droits de l'homme universels qui ne sont donc pas liés à la nationalité.
They must be granted to all persons covered by the jurisdiction of the contracting parties.	Ils doivent être reconnus à toutes les personnes soumises à la juridiction des États signataires.
In other words, the human rights in question must at all events be guaranteed throughout the territory of the contracting parties, so that local exceptions would represent a breach of the Convention.	Cela signifie que les droits de l'homme doivent dans tous les cas êtres accordés sur l'ensemble du territoire national, des exceptions locales constituant une violation de la convention.
In addition, however, they are also valid outside the territory of the contracting parties, provided that state authority is exercised in such places.	De plus, ces droits s'appliquent aussi hors du territoire national des États signataires dès lors que la puissance publique s'y exerce.
The rights guaranteed by the ECHR vis-à-vis a contracting state are thus also enjoyed by persons outside the territory of that state if those persons suffer interference in the exercise of their right to privacy Judgment of the European Court of Human Rights, Loizidou/Turkey, 23.3.1995, line 62, with further references: '… the concept of 'jurisdiction' under this provision is not restricted to the national territory of the High Contracting Parties […] responsibility can be involved because of acts of their authorities, whether performed within or outside national boundaries, which produce effects outside their own territory', with reference to the European Court of Human Rights, Drozd and Janousek, 26.6.1992, line 91.	Les droits garantis par la convention vis–à–vis d'un État signataire sont donc reconnus aux personnes hors du territoire national dès lors qu'un État signataire porte atteinte à la vie privée hors du territoire national CEDH Loizidou/Turquie, 23.3.1995, no 62 avec d'autres éléments à l'appui "...the concept of 'jursidiction' under this provision is not restricted to the national territory of the High Contracting Parties.[...] responsibility can be involved because of acts of their authorities, whether performed within or outside national boundaries, which produce effects outside their own territory" avec référence à la CEDH, Drozd und Janousek, 26.6.1992, no 91.
See also the comprehensive details in Francis G. Jacobs, Robin C. A. White , The European Convention on Human Rights, Clarendon Press (1996), pp. 21 et seq, Jochen Abr.	Pour plus de détails, cf. Francis G. Jacobs, Robin C. A. White, The European Convention on Human Rights2, Clarendon Press (1996), 21 et ss, Jochen Abr.
Frowein, Wolfgang Peukert , European Convention on Human Rights, N.P. Engel Verlag (1996), Rz 4 et seq. .	Frowein, Wolfgang Peukert, Europäische Menschenrechtskonvention, N. P. Engel Verlag (1996), Rz 4 et ss. .
The latter point is particularly important here, since a specific characteristic of the issue of fundamental rights in the area of telecommunications surveillance is the fact that there may be a substantial geographical distance between the state responsible for the surveillance, the person under surveillance and the location in which interception is actually carried out.	Ce dernier aspect est particulièrement important dans le contexte qui nous intéresse car le problème des droits fondamentaux dans le domaine de la surveillance des télécommunications présente la particularité que l'État qui est responsable de la surveillance, la personne surveillée et le processus d'interception lui–même ne sont pas présents en un même lieu.
This applies in particular to international communications, but may also apply to national communications if information is transmitted via connections situated abroad.	Cela s'applique notamment aux communications internationales mais aussi dans certains cas aux communications nationales lorsque le transport de l'information s'effectue via l'étranger.
Indeed, this is typical of interceptions carried out by foreign intelligence services.	C'est même la règle en ce qui concerne l'action des services de renseignements à l'étranger.
It is also possible that information obtained by an intelligence service by means of surveillance will be passed on to other states.	Par ailleurs, il ne peut être exclu que les informations obtenues grâce à la surveillance par un service de renseignements soient transmises à d'autres pays.
The admissibility of telecommunications surveillance pursuant to Article 8 of the ECHR	Surveillance des télécommunications au regard de l'article 8 de la convention
Pursuant to Article 8(1) of the ECHR, 'everyone has the right to respect for his private and family life, his home and his correspondence'.	L'article 8, paragraphe 1, de la convention dispose que "toute personne a droit au respect de sa vie privée et familiale, de son domicile et de sa correspondance".
No explicit reference is made to the protection of telephony or telecommunications, but, under the terms of the case law of the European Court of Human Rights, they are protected by the provisions of Article 8, since they are covered by the concepts of 'private life' and 'correspondence' See European Court of Human Rights, Klass et al, 6.9.1978, line 41. .	Il n'est pas fait mention expressément de la protection des communications téléphoniques et des télécommunications, mais en vertu de la jurisprudence de la Cour des droits de l'homme, ces aspects sont également couverts par les notions de vie privée et de correspondance et bénéficient à ce titre de la protection de l'article 8 de la convention CEDH, Klass et autres, 6.9.1978, no 41. .
The scope of the protection of this fundamental right covers not only the substance of the communication, but also the act of recording external data.	La protection des droits fondamentaux s'étend non seulement au contenu des communications, mais aussi à l'enregistrement de données extérieures.
In other words, even if the intelligence service merely records data such as the time and duration of calls and the numbers dialled, this represents a violation of privacy See European Court of Human Rights, Malone, 2.8.1984, line 83 et seq; also B. Davy/U.Davy, Aspects of state information collection and Article 8 of the ECHR, JBl 1985, 656. .	Cela signifie que même si un service de renseignements n'enregistre que des données telles que heure et durée des communications ou encore numéros composés, il s'agit là d'une atteinte à la vie privée CEDH, Malone, 2.8.1984, no 83 et suivants; Davy, B/Davy/U, Aspekte staatlicher Informationssammlung und Art 8 MRK, JBl 1985, 656. .
Pursuant to Article 8(2) of the ECHR, exercise of this fundamental right is not unrestricted.	Le droit qui est reconnu à l'article 8, paragraphe 2, de la convention n'est pas illimité.
Interference in the exercise of the fundamental right to privacy may be admissible if there is a	Des atteintes au droit fondamental au respect de la vie privée sont admissibles dès lors qu'elles disposent d'une base juridique dans le droit national Selon la jurisprudence de la Cour des droits de l'homme (voir notamment Sunday Times, 26.4.1979, p. 46 ss, Silver ua, 25.3.1983, p.85 ss) la notion de "loi" visée à l'art. 8, par.
legal basis under national law Under the case law of the European Court of Human Rights (in particular Sunday Times, 26.4.1979, line 47 et seq, Silver et al, 25.3.1983, line 85 et seq, the term 'the law' in Article 8(2) embraces not only laws in the formal sense, but also legal provisions below the level of a law and, in certain circumstances, even unwritten law.	2 englobe non seulement les lois au sens formel, mais aussi les dispositions de catégories inférieures, c'est–à–dire aussi le droit non écrit.
It is essential, however, that it is clear to the legal subject under what circumstances interference is possible.	Cela suppose toutefois que le justiciable ait la possibilité de déterminer dans quelles circonstances une ingérence est possible.
The law must be generally accessible and its consequences must be foreseeable Silver et al, 25.3.1983, line 87 et seq. .	Le droit doit être accessible à tous et prévisible dans ses effets Silver et autres, 25.3.1983, Z 87 et ss. .
In that connection, the Member States are not free to interfere in the exercise of this fundamental right as they see fit.	Les États membres ne disposent donc pas d'une liberté totale pour organiser ces ingérences.
In connection with any instance of interference, the least invasive means appropriate must be employed to achieve the objective; in addition, adequate guarantees must be laid down to prevent misuse of this power.	Pour toute intervention, il faut recourir au moyen minimal permettant d'atteindre l'objectif et, en outre, prévoir des garanties suffisantes contre les abus.
The significance of Article 8 of the ECHR for the activities of intelligence services	Importance de l'article 8 de la convention sous l'angle des activités des services de renseignements
These general principles have the following implications for the organisation of the work of intelligence services in a manner consistent with this basic right: if, for the purpose of safeguarding national security, there seems to be a need to authorise intelligence services to record the substance of telecommunications, or at least external data relating to the connections in question, this power must be established in national law and the relevant provisions must be generally accessible.	Du point de vue de l'organisation conforme aux droits fondamentaux des activités des services de renseignements, ces principes généraux signifient que s'il apparaît nécessaire, pour assurer la sécurité nationale, d'autoriser les services de renseignements à intercepter le contenu de télécommunications ou au moins des données relatives aux communications, cela doit être prévu par le droit national et les dispositions afférentes doivent être accessibles à tous.
The consequences for individuals must be foreseeable, but due account must be taken of the particular requirements in the sphere of national security.	Les conséquences de ces dispositions doivent être prévisibles pour chacun, non toutefois sans tenir compte des exigences du secret.
Accordingly, in a ruling on the conformity with Article 8 of secret checks on employees in areas relating to national security, the European Court of Human Rights noted that in this special case the arrangements governing the foreseeability requirement must differ from those in other areas European Court of Human Rights, Leander, 26.3.1987, line 51. .	C'est ainsi que dans un arrêt relatif à la conformité avec l'article 8 de contrôles secrets visant des fonctionnaires dans des domaines touchant à la sécurité nationale, la Cour des droits de l'homme a constaté que l'aspect de prévisibilité dans ce cas particulier ne peut être identique à ce qu'il est dans d'autres domaines CEDH, Leander, 26.3.1987, p. 51. .
In this context as well, however, it stipulated that the law must at all events state under what circumstances and subject to what conditions the state may carry out secret, and thus potentially dangerous, interference in the exercise of the right to privacy European Court of Human Rights, Malone, 2.8.1984, line 67. .	Elle a demandé dans ce cas aussi que les dispositions juridiques précisent dans quelles circonstances et conditions la puissance publique peut porter une atteinte secrète et, partant, potentiellement dangereuse, à la vie privée CEDH, Malone, 2.8.1984, p. 67. .
In that connection, the European Court of Human Rights has clearly stated that the interest of the state in protecting its national security must be weighed up against the seriousness of the invasion of an individual's privacy European Court of Human Rights, Leander, 26.3.1987, line 59, Sunday Times, 26.4.1979, line 46 et seq. .	À cet égard, la Cour des droits de l'homme a indiqué que le souci de l'État de protéger la sécurité nationale doit être mis en balance avec les intérêts de la personne en ce qui concerne le respect de la vie privée CEDH, Leander, 26.3.1987, Z 59, Sunday Times, 26.4.1979, p. 46 ss. .
Invasions of privacy may not be restricted to the absolute minimum, but mere usefulness or desirability is not sufficient justification European Court of Human Rights, Silver et al, 24.10.1983, line 97. .	Les ingérences ne sont certes pas limitées à ce qui est indispensable mais il ne suffit pas qu'elles soient opportunes ou souhaitables CEDH, Silver et autres, 24.10.1983, Z 97. .
The view that the interception of all telecommunications, even if permissible under national law, represents the best form of protection against organised crime would amount to a breach of Article 8 of the ECHR.	L'idée selon laquelle l'interception de toute télécommunication constituerait la meilleure protection contre la criminalité organisée serait contraire à l'article 8 de la convention même si cela était prévu par le droit national.
In addition, given the specific nature of the activities conducted by intelligence services, activities which demand secrecy and, therefore, a particularly careful weighing-up of interests, provision must be made for more stringent monitoring arrangements.	Il faut en outre prévoir des possibilités de contrôle plus importantes eu égard au caractère particulier des activités des services de renseignements qui supposent le secret et, par voie de conséquence, une certaine mise en balance des intérêts.
The European Court of Human Rights has explicitly drawn attention to the fact that a secret surveillance system operated for the purpose of protecting national security carries with it the risk that, under the pretext of defending democracy, it may undermine or even destroy the democratic system, so that more appropriate and more effective guarantees are needed to prevent such misuse of powers European Court of Human Rights, Leander, 26.3.1987, line 60. .	La Cour a souligné qu'un système de surveillance secret destiné à garantir la sécurité nationale porte en soi le risque de saper ou de détruire la démocratie sous prétexte de la défendre et qu'il faut par conséquent des garanties appropriées et efficaces contre de tels abus CEDH, Leander, 26.3.1987, p. 60. .
Accordingly, the legally authorised activities of intelligence services are only consistent with fundamental rights if the ECHR contracting party has established adequate systems of checks and other guarantees to prevent the misuse of powers.	Les activités légitimes des services de renseignements ne sont conformes aux droits fondamentaux que si l'État signataire de la convention a prévu des systèmes de contrôle suffisants et d'autres garanties contre les abus.
In connection with the activities of Sweden’s intelligence services, the European Court of Human Rights emphasised the fact that it attaches particular importance to the presence of MPs in police supervisory bodies and to supervision by the Minister of Justice, the parliamentary Ombudsman and the parliamentary Committee on Legal Affairs.	À cet égard, la Cour a fait observer, dans le contexte des activités des services de renseignements suédois, qu'elle accordait une importance particulière à la présence de députés au sein de l'organe de contrôle policier ainsi qu'à la surveillance exercée par le ministre de la justice, par le médiateur parlementaire et par la commission juridique du Parlement.
Against this background, it must be regarded as unsatisfactory that France, Greece, Ireland, Luxembourg and Spain have no parliamentary committee with responsibility for monitoring the secret services Your rapporteur is aware that neither Luxembourg nor Ireland has a foreign intelligence service and does not carry out SIGINT operations.	Dans ces conditions, il apparaît critiquable que la France, la Grèce, l'Irlande, le Luxembourg et l'Espagne ne disposent pas de commissions parlementaires chargées de contrôler les services secrets Le rapporteur sait que ni le Luxembourg ni l'Irlande ne disposent ni de services de renseignements à l'étranger ni de SIGINT.
The need for a specific supervisory body relates here only to domestic intelligence activities. and have made no move to set up a supervisory system similar to the office of parliamentary Ombudsman pioneered by the Nordic states For details of the situation regarding the supervision of intelligence services in the Member States, see Chapter 9. .	La nécessité d'une instance de contrôle particulière ne concerne que les activités de renseignements à l'intérieur du pays. , pas plus que de système de contrôle comparable au médiateur parlementaire des pays nordiques Au sujet du contrôle des services de renseignements dans les États membres, voir chapitre 9. .
Your rapporteur therefore welcomes the efforts made by the French National Assembly Committee on National Defence to set up a monitoring committee Bill entitled ‘Proposition de loi tendant à la création de délégations parlementaires pour le renseignement’, and the related report by Arthur Paecht , Rapport fait au nom de la Commission de la défense nationale et des forces armées sur la proposition de loi (N° 1497) de M. Paul Quilès et plusieurs de ses collègues tendant à la création d'une délégation parlementaire pour les affaires de renseignement, enregistré à la Présidence de l'assemblée nationale le 23. novembre 1999 , particularly as France has exceptional intelligence capabilities, in both technical and geographical terms.	Le rapporteur se félicite par conséquent des efforts déployés par la commission de la défense de l'Assemblée nationale française pour instituer une commission de contrôle Proposition de loi tendant à la création de délégations parlementaires pour le renseignement, et rapport afférent du député Arthur Paecht, Rapport fait au nom de la Commission de la défense nationale et des forces armées sur la proposition de loi (N° 1497) de M. Paul Quilès et plusieurs de ses collègues tendant à la création d'une délégation parlementaire pour les affaires de renseignement, enregistré à la Présidence de l'Assemblée nationale le 23 novembre 1999. , d'autant que la France dispose de capacités de renseignements notables, tant du point de vue technique que du point de vue géographique.
The requirement to monitor closely the activities of other countries’ intelligence services	Obligation de vigilance vis–à–vis des activités de services de renseignements étrangers
Inadmissibility of moves to circumvent Article 8 of the ECHR through the use of other countries’ intelligence services	Caractère inadmissible d'une violation de l'article 8 de la convention liée à l'intervention de services de renseignements étrangers
As outlined in detail above, the contracting parties must comply with a set of conditions in order to demonstrate that the activities of their intelligence services are compatible with Article 8 of the ECHR.	Comme il a été exposé plus haut, les parties signataires doivent satisfaire à plusieurs conditions pour que les activités de leurs services de renseignements soient compatibles avec l'article 8 de la convention.
It is quite obvious that intelligence services cannot be allowed to circumvent these requirements by employing assistance from other intelligence services subject to less stringent rules.	Il est évident que les services de renseignements ne peuvent se soustraire à ces obligations en recourant aux services d'autres organismes de renseignements soumis à des dispositions moins rigoureuses.
Otherwise, the principle of legality, with its twin components of accessibility and foreseeability, would become a dead letter and the case law of the European Court of Human Rights would be deprived of its substance.	S'il en était autrement, le principe de légalité et ses deux composantes – possibilité d'accès et prévisibilité – se trouverait privé de ses effets cependant que la jurisprudence de le Cour serait vidée de sa substance.
The first implication of this is that exchanges of data between intelligence services are permissible only on a restricted basis.	Cela signifie d'une part que l'échange de données entre services de renseignements n'est admissible que dans une mesure limitée.
An intelligence service may seek from one of its counterparts only data obtained in a manner consistent with the conditions laid down in its own national law.	Un service de renseignements ne peut solliciter d'un autre des données que si lesdites données peuvent être obtenues dans des conditions prévues par le droit national.
The geographical scope for action laid down by law in respect of the intelligence service concerned may not be extended by means of agreements with other services.	Le rayon d'action défini par la loi ne peut être étendu à travers des accords avec d'autres services.
By the same token, it may carry out operations on behalf of another country’s intelligence service, in accordance with the latter’s instructions, only if it is satisfied that the operations are consistent with the national law of its own country.	De la même manière , un service de renseignements ne peut intervenir sur instructions d'un service de renseignements étranger qu'à condition d'avoir établi que lesdites activités sont conformes au droit national.
Even if the information is intended for another country, this in no way alters the fact that an invasion of privacy which could not be foreseen by the legal subject concerned constitutes a violation of fundamental rights.	Même si les informations sont destinées à un pays étranger, cela ne change rien au fait qu'une ingérence que le justiciable ne pouvait prévoir est contraire à ses droits fondamentaux.
The second implication is that states which are ECHR contracting parties may not allow other countries’ intelligence services to carry out operations on their territory if they have reason to believe that those operations are not consistent with the conditions laid down by the ECHR See also Dimitri Yernault , ‘ECHELON and Europe.	Par ailleurs, les pays signataires de la convention ne peuvent autoriser des services de renseignements étrangers à intervenir sur leur territoire dès lors que l'on peut soupçonner que leurs activités ne sont pas conformes aux dispositions de la convention Dimitri Yernault , "Echelon" et l'Europe.
The protection of privacy against communications espionage’, Journal of the Courts, European Law, 2000, 187 et seq. .	La protection de la vie privée face à l'espionnage des communications, Journal des tribunaux, Droit européen 2000, 187 ss. .
Implications of allowing non-European intelligence services to carry out operations on the territory of Member States which are ECHR contracting parties	Conséquences sous l'angle des activités de services de renseignements extra–européens sur le territoire de pays signataires de la convention
The relevant case law of the European Court of Human Rights	Jurisprudence de la Cour européenne des droits de l'homme
By ratifying the ECHR the contracting parties undertook to subject the exercise of their sovereignty to a review of its consistency with fundamental rights.	En ratifiant la convention, les signataires se sont engagés à soumettre l'exercice de leur souveraineté à une vérification du respect des droits fondamentaux.
They cannot seek to circumvent this requirement by foregoing the exercise of that sovereignty.	Ils ne peuvent se soustraire à cette obligation en renonçant à leur souveraineté.
These states remain responsible for their territory and thus have an obligation to European legal subjects if the exercise of sovereignty is usurped by the activities of the intelligence services of another state.	Ils conservent la responsabilité de leur territoire ainsi que leurs obligations vis–à–vis du justiciable européen dès lors que l'exercice de la puissance publique est assuré par le service de renseignements d'un autre pays.
If a state allows another country’s intelligence service to work on its territory, the protection requirement is much greater, because in that case another authority is exercising its sovereignty.	Si un pays autorise un service de renseignements étranger à intervenir sur son territoire, la protection nécessaire est d'autant plus grande que c'est dans ce cas une autre autorité qui exerce sa puissance.
The only logical conclusion is that states must carry out checks to ensure that the activities of intelligence services on their territory do not represent a violation of human rights.	Il semble tout simplement logique de considérer que l'État doit veiller à la conformité des activités de services de renseignements avec les droits de l'homme sur son territoire.
Implications for stations	Conséquences en ce qui concerne les stations
In Bad Aibling in Germany an area of land has been declared US territory for the sole purpose of housing a satellite receiving facility.	En Allemagne, les États–Unis d'Amérique disposent à Bad Aibling d'un territoire propre qu'ils utilisent exclusivement pour la réception d'émissions de satellites.
In Menwith Hill in the United Kingdom authorisation has been given for the shared use of land for the same purpose.	À Menwith Hill, au Royaume‑Uni, ils partagent un terrain dans le même but.
If, in these stations, a US intelligence service were to engage in the interception of non-military communications conducted by private individuals or firms from an ECHR contracting party, supervisory requirements would come into play under the ECHR.	Si un service de renseignements américain interceptait dans ces stations des communications non militaires de personnes privées ou d'entreprises en provenance d'un pays signataire de la convention, cela donnerait lieu à des obligations de contrôle.
In practical terms, as ECHR contracting parties Germany and the United Kingdom are required to establish that the activities of the American intelligence services do not represent a violation of fundamental rights.	Dans la pratique, cela signifie que l'Allemagne et le Royaume–Uni, signataires de la convention, sont tenus de s'assurer que les activités des services de renseignements américains sont conformes aux droits fondamentaux.
This is all the more relevant because representatives of NGOs and the press have repeatedly expressed concerns regarding the activities of the US National Security Agency (NSA).	Cela s'impose d'autant plus que des représentants des ONG et de la presse ont déjà fait part à plusieurs reprises de leur inquiétude face aux agissements de la NSA.
Implications for interception carried out on behalf of third parties	Conséquences en ce qui concerne les écoutes pratiquées sur instructions de l'étranger
According to information available to the committee, in Morwenstow in the United Kingdom GCHQ, working in cooperation with the NSA and in strict accordance with the latter’s instructions, intercepts civilian communications and passes on the recordings to the USA as raw intelligence material.	À Morwenstow, au Royaume–Uni, le GCHQ pratique en coopération avec la NSA, sur instructions de cette dernière, l'interception de communications civiles qui sont transmises telles quelles aux États–Unis.
The requirement to check that interception operations are consistent with fundamental rights also applies to work carried out on behalf of third parties.	Même si les activités sont effectuées pour compte de tiers, il y a obligation de vérifier qu'elles sont conformes aux droits fondamentaux.
Particular duty of care in connection with third states	Obligation de vigilance par rapport aux pays tiers
In the case of operations involving two ECHR contracting parties, both can assume, up to a certain point, that the other is complying with the ECHR.	S'agissant de pays signataires de la convention, on peut dans une certaine mesure considérer de part et d'autre que l'autre pays respecte aussi la convention.
At all events, this applies until evidence emerges that an ECHR contracting party is violating the Convention on a systematic, long-term basis.	Cela n'est toutefois valable que jusqu'à ce qu'il soit établi qu'un pays signataire de la convention viole celle–ci de manière systématique et répétée.
